F8131:/data/local/tmp # ./mixbench-ocl-ro                                                                                                                                                                  
mixbench-ocl/read-only (v0.03-8-gbab3fb7)
Use "-h" argument to see available options
------------------------ Device specifications ------------------------
Platform:            QUALCOMM Snapdragon(TM)
Device:              QUALCOMM Adreno(TM)/QUALCOMM
Driver version:      OpenCL 2.0 QUALCOMM build: commit #8aaecb6 changeid #Ib515ec08c2 Date: 10/19/17 Thu Local Branch:  Remote Branch: refs/tags/AU_LINUX_ANDROID_LA.UM.6.5.R1.08.00.00.312.030 Compiler E031.35.00.00
Address bits:        64
GPU clock rate:      1 MHz
Total global mem:    1378 MB
Max allowed buffer:  344 MB
OpenCL version:      OpenCL 2.0 Adreno(TM) 530
Total CUs:           4
-----------------------------------------------------------------------
Buffer size:            256MB
Workgroup size:         256
Elements per workitem:  8
Workitem fusion degree: 4
Workitem stride:        NDRange
Buffer allocation:      Device allocated
Timer:                  CL event based
Warning:                Double precision computations are not supported
Loading kernel source file...
Precompilation of kernels... [>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>]
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
            9,      4.750,    8.80,   72.44,  15.25,      2.375,    0.00,     inf,    inf,      9.500,   42.16,   30.25,   3.18,     4.750,   11.95,   53.35,  11.23
           10,      5.250,    8.84,   79.67,  15.18,      2.625,    0.00,     inf,    inf,     10.500,   45.99,   30.64,   2.92,     5.250,   12.79,   55.09,  10.49
           11,      5.750,    9.02,   85.54,  14.88,      2.875,    0.00,     inf,    inf,     11.500,   49.43,   31.22,   2.72,     5.750,   13.62,   56.67,   9.86
           12,      6.250,    9.09,   92.31,  14.77,      3.125,    0.00,     inf,    inf,     12.500,   53.29,   31.49,   2.52,     6.250,   14.48,   57.94,   9.27
           13,      6.750,    9.20,   98.53,  14.60,      3.375,    0.00,     inf,    inf,     13.500,   56.68,   31.97,   2.37,     6.750,   15.35,   59.04,   8.75
           14,      7.250,    9.16,  106.23,  14.65,      3.625,    0.00,     inf,    inf,     14.500,   38.53,   50.51,   3.48,     7.250,   16.21,   60.04,   8.28
           15,      7.750,    9.18,  113.36,  14.63,      3.875,    0.00,     inf,    inf,     15.500,   40.88,   50.89,   3.28,     7.750,   17.14,   60.70,   7.83
           16,      8.250,    9.19,  120.48,  14.60,      4.125,    0.00,     inf,    inf,     16.500,   42.17,   52.51,   3.18,     8.250,   18.00,   61.53,   7.46
           17,      8.750,   22.41,   52.42,   5.99,      4.375,    0.00,     inf,    inf,     17.500,   43.81,   53.61,   3.06,     8.750,   31.88,   36.83,   4.21
           18,      9.250,   22.74,   54.60,   5.90,      4.625,    0.00,     inf,    inf,     18.500,   45.92,   54.08,   2.92,     9.250,   32.85,   37.79,   4.09
           20,     10.250,   23.13,   59.47,   5.80,      5.125,    0.00,     inf,    inf,     20.500,   49.61,   55.46,   2.71,    10.250,   34.61,   39.74,   3.88
           22,     11.250,   23.51,   64.21,   5.71,      5.625,    0.00,     inf,    inf,     22.500,   53.03,   56.95,   2.53,    11.250,   36.31,   41.58,   3.70
           24,     12.250,   23.85,   68.94,   5.63,      6.125,    0.00,     inf,    inf,     24.500,  156.44,   21.02,   0.86,    12.250,   38.21,   43.03,   3.51
           28,     14.250,   24.51,   78.02,   5.48,      7.125,    0.00,     inf,    inf,     28.500,  180.43,   21.20,   0.74,    14.250,   42.23,   45.29,   3.18
           32,     16.250,   25.27,   86.31,   5.31,      8.125,    0.00,     inf,    inf,     32.500,  204.57,   21.32,   0.66,    16.250,   46.28,   47.13,   2.90
           40,     20.250,   26.92,  100.95,   4.99,     10.125,    0.00,     inf,    inf,     40.500,  252.67,   21.51,   0.53,    20.250,   54.62,   49.76,   2.46
           48,     24.250,   28.54,  114.03,   4.70,     12.125,    0.00,     inf,    inf,     48.500,  300.59,   21.66,   0.45,    24.250,   62.81,   51.82,   2.14
           56,     28.250,   29.97,  126.52,   4.48,     14.125,    0.00,     inf,    inf,     56.500,  348.58,   21.75,   0.39,    28.250,   71.71,   52.88,   1.87
           64,     32.250,  125.68,   34.44,   1.07,     16.125,    0.00,     inf,    inf,     64.500,  396.70,   21.82,   0.34,    32.250,  193.12,   22.41,   0.69
           80,     40.250,  151.19,   35.73,   0.89,     20.125,    0.00,     inf,    inf,     80.500,  492.77,   21.93,   0.27,    40.250,  237.82,   22.72,   0.56
           96,     48.250,  176.81,   36.63,   0.76,     24.125,    0.00,     inf,    inf,     96.500,  588.68,   22.00,   0.23,    48.250,  282.99,   22.88,   0.47
          128,     64.250,  227.94,   37.83,   0.59,     32.125,    0.00,     inf,    inf,    128.500,  780.80,   22.09,   0.17,    64.250,  373.44,   23.09,   0.36
          192,     96.250,  329.46,   39.21,   0.41,     48.125,    0.00,     inf,    inf,    192.500, 1166.03,   22.16,   0.12,    96.250,  554.46,   23.30,   0.24
          256,    128.250,  431.11,   39.93,   0.31,     64.125,    0.00,     inf,    inf,    256.500, 1550.90,   22.20,   0.09,   128.250,  736.03,   23.39,   0.18
--------------------------------------------------------------------------------------------------------------------------------------------------------------------

